Unit_ID,Random_P
1101011001,7.395143488
1101011002,7.395143488
1101111001,7.395143488
1101012001,7.395143488
1101012002,7.395143488
1101012003,7.395143488
1101011003,7.395143488
1101012004,7.395143488
1101012005,7.395143488
1101013001,7.395143488
1202012001,2.759381898
1202012002,2.759381898
1202012003,2.759381898
1202013001,2.759381898
1202013002,2.759381898
1202511001,2.759381898
1202012004,2.759381898
1202012005,2.759381898
1310013001,0.55187638
1310013002,0.55187638
1310011001,0.55187638
1310012001,0.55187638
1310012002,0.55187638
1425013001,0.220750552
1425012001,0.220750552
1425012002,0.220750552
1430011001,0.220750552
1540021001,0.110375276
1540022001,0.110375276
1540023001,0.110375276
