Unit_ID,Random_P
3101011001,7.395143488
3101011002,7.395143488
3101111001,7.395143488
3101012001,7.395143488
3101012002,7.395143488
3101012003,7.395143488
3101011003,7.395143488
3101012004,7.395143488
3101012005,7.395143488
3101013001,7.395143488
3202012001,2.759381898
3202012002,2.759381898
3202012003,2.759381898
3202013001,2.759381898
3202013002,2.759381898
3202511001,2.759381898
3202012004,2.759381898
3202012005,2.759381898
3310013001,0.55187638
3310013002,0.55187638
3310011001,0.55187638
3310012001,0.55187638
3310012002,0.55187638
3425013001,0.220750552
3425012001,0.220750552
3425012002,0.220750552
3430011001,0.220750552
3540021001,0.110375276
3540022001,0.110375276
3540023001,0.110375276
