Unit_ID,Random_P
2101011001,7.395143488
2101011002,7.395143488
2101111001,7.395143488
2101012001,7.395143488
2101012002,7.395143488
2101012003,7.395143488
2101011003,7.395143488
2101012004,7.395143488
2101012005,7.395143488
2101013001,7.395143488
2202012001,2.759381898
2202012002,2.759381898
2202012003,2.759381898
2202013001,2.759381898
2202013002,2.759381898
2202511001,2.759381898
2202012004,2.759381898
2202012005,2.759381898
2310013001,0.55187638
2310013002,0.55187638
2310011001,0.55187638
2310012001,0.55187638
2310012002,0.55187638
2425013001,0.220750552
2425012001,0.220750552
2425012002,0.220750552
2430011001,0.220750552
2540021001,0.110375276
2540022001,0.110375276
2540023001,0.110375276
