Unit_ID,Random_P
1101011001,2.2611645
1101011002,2.2611645
1101111001,2.2611645
1101012001,2.2611645
1101012002,2.2611645
1101012003,2.2611645
1101011003,2.2611645
1101012004,2.2611645
1101012005,2.2611645
1101013001,2.2611645
2101011001,2.2611645
2101011002,2.2611645
2101111001,2.2611645
2101012001,2.2611645
2101012002,2.2611645
2101012003,2.2611645
2101011003,2.2611645
2101012004,2.2611645
2101012005,2.2611645
2101013001,2.2611645
3101011001,2.2611645
3101011002,2.2611645
3101111001,2.2611645
3101012001,2.2611645
3101012002,2.2611645
3101012003,2.2611645
3101011003,2.2611645
3101012004,2.2611645
3101012005,2.2611645
3101013001,2.2611645
1202012001,1.13058225
1202012002,1.13058225
1202012003,1.13058225
1202013001,1.13058225
1202013002,1.13058225
1202511001,1.13058225
1202012004,1.13058225
1202012005,1.13058225
2202012001,1.13058225
2202012002,1.13058225
2202012003,1.13058225
2202013001,1.13058225
2202013002,1.13058225
2202511001,1.13058225
2202012004,1.13058225
2202012005,1.13058225
3202012001,1.13058225
3202012002,1.13058225
3202012003,1.13058225
3202013001,1.13058225
3202013002,1.13058225
3202511001,1.13058225
3202012004,1.13058225
3202012005,1.13058225
1310013001,0.22611645
1310013002,0.22611645
1310011001,0.22611645
1310012001,0.22611645
1310012002,0.22611645
2310013001,0.22611645
2310013002,0.22611645
2310011001,0.22611645
2310012001,0.22611645
2310012002,0.22611645
3310013001,0.22611645
3310013002,0.22611645
3310011001,0.22611645
3310012001,0.22611645
3310012002,0.22611645
1425013001,0.094215187
1425012001,0.094215187
1425012002,0.094215187
1430011001,0.094215187
2425013001,0.094215187
2425012001,0.094215187
2425012002,0.094215187
2430011001,0.094215187
3425013001,0.094215187
3425012001,0.094215187
3425012002,0.094215187
3430011001,0.094215187
1540021001,0.056529112
1540022001,0.056529112
1540023001,0.056529112
2540021001,0.056529112
2540022001,0.056529112
2540023001,0.056529112
3540021001,0.056529112
3540022001,0.056529112
3540023001,0.056529112
